c1opening.gif       | SYSTEM | CHAPTER 1: THE RESURRECTION
SAME       | SYSTEM | The Control Room of Grid 2.0
c1kevinopening.gif  | Kevin  | Stable. Finally.
c1tronandkevin.png  | TRON   | The system monitor is spiking, Flynn. I’ve never seen energy readings like this.
c1tronpointshard.png| Kevin  | That’s because we’ve never built anything like this before, Tron.
SAME                | Kevin  | The Shard of Control.
SAME                | TRON   | It looks... volatile.
SAME                | Kevin  | It’s powerful. It’s the anchor for Grid 2.0.
SAME                | Kevin  | It allows the holder to rewrite the base code in real-time. No more corruption. Pure order.
SAME                | TRON   | That is a dangerous amount of power for one program to hold.
SAME                | Kevin  | That’s why I’m holding it.
c1CLUlight.png      | CLU    | "Order." You speak of it, Kevin. But you do not have the stomach to enforce it.
c1CLUentrance.gif   | TRON   | CLU. Stand down.
SAME                | CLU    | You built the lock, Creator. But you forgot... I am the key.
c1firstfight.jpg    | SYSTEM | *CLU fights and takes the Crystal*
kevintronhurt.jpg   | Kevin  | CLU! That code isn't finished! It will destabilize everything!
CLUwins.png         | CLU    | It will perfect everything.
CLUleaves.jpg       | CLU | Keep them busy.
